week,date,team1,team2,location
5,7:30 PM,48,14,Appalachian State
5,8:00 PM,31,24,(22)Nebraska
5,7:30 PM,26,24,Syracuse
5,10:00 PM,54,52,San Jose State
5,3:30 PM,24,14,Auburn
5,12:00 PM,37,14,Rice
5,9:45 PM,56,14,Portland State
5,8:00 PM,23,19,Michigan State
5,10:30 PM,38,9,(13)Kansas State
5,3:30 PM,23,20,(23)Northern Illinois
5,1:00 PM,37,34,Ball State
5,12:00 PM,34,0,Houston
5,12:00 PM,59,35,North Carolina State
5,8:00 PM,38,31,Baylor
5,5:00 PM,27,17,Texas-El Paso
5,7:00 PM,48,14,Florida Atlantic
5,4:00 PM,45,17,Middle Tennessee State
5,2:00 PM,36,0,St. Francis (PA)
5,12:00 PM,45,28,Mississippi State
5,7:00 PM,14,9,California
5,8:30 PM,38,21,New Mexico
5,12:00 PM,52,14,Charlotte
5,7:30 PM,31,14,Minnesota
5,2:00 PM,52,7,Arkansas State
5,3:00 PM,44,7,Southern Mississippi
5,12:00 PM,70,50,North Carolina
5,12:45 PM,41,6,Ohio
5,6:00 PM,35,24,East Carolina
5,3:45 PM,34,17,UCLA
5,3:30 PM,31,19,Georgia Tech
5,12:00 PM,38,20,Villanova
5,3:30 PM,35,31,Central Connecticut State
5,7:00 PM,50,15,South Florida
5,3:30 PM,27,24,(11)Southern California
5,7:45 PM,52,13,Georgia Southern
5,4:15 PM,30,27,Vanderbilt
5,6:00 PM,45,42,Florida International
5,3:30 PM,56,44,Memphis
5,3:00 PM,49,16,Eastern Washington
5,7:00 PM,44,17,Wyoming
5,3:30 PM,28,3,Miami (OH)
5,12:00 PM,49,14,Marshall
5,8:30 PM,38,21,Purdue
5,3:30 PM,56,0,Kent State
5,3:30 PM,73,17,Youngstown State
5,3:30 PM,26,23,Virginia Tech
5,7:00 PM,31,11,New Mexico State
5,7:30 PM,50,7,Akron
5,5:00 PM,66,42,Texas Christian
5,2:00 PM,45,29,Utah State
5,7:30 PM,25,15,(15)Oklahoma
5,8:00 PM,51,3,Louisiana-Monroe
5,7:30 PM,26,20,Bowling Green
5,3:30 PM,30,22,Arizona State
5,3:30 PM,45,7,Houston Baptist
5,7:00 PM,34,12,Florida A&M
5,12:00 PM,41,33,Louisiana
5,7:00 PM,23,20,Louisiana Tech
5,4:00 PM,22,19,(14)Oklahoma State
5,2:00 PM,43,24,Coastal Carolina
5,7:00 PM,24,5,Northwestern
5,12:00 PM,32,28,Kansas
5,7:00 PM,26,21,Toledo
5,12:00 AM,36,7,Northern Iowa
6,7:30 PM,42,14,Temple
6,7:30 PM,38,34,Virginia Tech
6,8:00 PM,21,18,Washington
6,7:30 PM,41,34,(2)Georgia
6,10:15 PM,23,10,(10)Utah
6,10:00 PM,45,24,Washington State
6,12:00 PM,21,20,Western Kentucky
6,12:00 PM,34,28,Baylor
6,3:30 PM,22,21,San Diego State
6,7:00 PM,21,20,Rice
6,7:00 PM,40,14,Stanford
6,3:30 PM,48,21,Central Florida
6,12:00 PM,47,3,Buffalo
6,4:00 PM,21,20,North Carolina
6,4:00 PM,30,20,Texas-San Antonio
6,3:30 PM,52,33,Kent State
6,6:00 PM,41,10,Wagner
6,6:00 PM,17,10,Louisiana Tech
6,3:30 PM,38,21,Georgia State
6,12:00 PM,42,28,Maryland
6,7:00 PM,20,0,Houston
6,1:30 PM,63,7,Ball State
6,12:00 PM,42,20,(20)Oklahoma State
6,12:00 PM,20,17,(6)Mississippi
6,3:30 PM,41,38,Wake Forest
6,7:45 PM,42,10,South Alabama
6,7:00 PM,13,9,Troy
6,3:30 PM,27,20,Western Michigan
6,7:30 PM,24,7,Middle Tennessee State
6,3:30 PM,23,20,Massachusetts
6,12:00 PM,27,24,Minnesota
6,12:00 PM,41,18,Alabama-Birmingham
6,12:00 PM,28,10,Purdue
6,3:30 PM,59,14,Fresno State
6,8:00 PM,50,40,New Mexico State
6,12:00 PM,24,17,Northern Illinois
6,7:00 PM,52,20,Tulsa
6,3:30 PM,31,24,(15)Louisville
6,3:30 PM,30,10,Akron
6,7:00 PM,38,7,Michigan State
6,3:40 PM,27,21,Auburn
6,5:00 PM,30,27,Bowling Green
6,11:00 PM,34,13,UCLA
6,7:30 PM,21,7,(19)Illinois
6,3:00 PM,40,39,Texas State
6,3:30 PM,38,21,Wisconsin
6,8:00 PM,42,16,Florida State
6,12:00 PM,42,14,Holy Cross
6,6:00 PM,24,13,Kennesaw State
6,4:15 PM,35,13,Mississippi State
6,3:30 PM,21,17,Arkansas
6,3:30 PM,38,27,Kansas
6,8:00 PM,44,41,Cincinnati
6,12:00 PM,45,10,South Florida
6,8:00 PM,31,19,Air Force
7,9:00 PM,41,21,Texas-El Paso
7,7:00 PM,38,17,Troy
7,7:30 PM,30,19,Texas Christian
7,7:00 PM,63,24,Kennesaw State
7,9:00 PM,31,10,Michigan State
7,9:00 PM,44,41,(25)Nevada-Las Vegas
7,8:00 PM,35,31,Kansas
7,7:30 PM,19,14,(4)Tennessee
7,7:00 PM,18,16,South Alabama
7,12:00 PM,49,7,Tulsa
7,7:00 PM,62,30,Utah State
7,3:30 PM,27,20,Akron
7,3:30 PM,55,24,East Carolina
7,7:00 PM,29,13,Florida State
7,7:00 PM,45,37,Old Dominion
7,3:30 PM,29,20,Temple
7,7:45 PM,24,13,Central Florida
7,3:30 PM,31,13,Auburn
7,8:00 PM,24,14,Duke
7,3:30 PM,41,24,Northwestern
7,7:30 PM,43,21,Baylor
7,7:00 PM,23,13,Southern Mississippi
7,7:00 PM,21,19,James Madison
7,3:30 PM,52,37,Appalachian State
7,10:30 PM,39,38,California
7,7:30 PM,24,17,(11)Southern California
7,3:30 PM,27,3,South Carolina
7,12:00 PM,34,7,Air Force
7,4:00 PM,14,7,Rutgers
7,12:00 PM,34,20,Massachusetts
7,3:30 PM,35,7,Iowa
7,6:30 PM,39,31,Colorado State
7,12:00 PM,27,11,UCLA
7,12:00 PM,34,24,North Carolina
7,8:00 PM,27,24,Hawaii
7,7:30 PM,35,31,Nevada
7,12:00 PM,34,27,(22)Louisville
7,12:00 PM,41,10,(9)Missouri
7,11:00 PM,28,22,Arizona
7,3:30 PM,30,20,Miami (OH)
7,1:00 PM,71,20,Alabama-Birmingham
7,4:15 PM,40,35,(1)Alabama
7,12:00 PM,24,14,Boston College
7,3:30 PM,31,7,Stanford
7,12:00 PM,34,30,North Carolina State
7,7:30 PM,27,17,(10)Michigan
7,4:00 PM,38,14,Oklahoma State
7,2:00 PM,45,42,Ball State
7,12:00 PM,52,6,Purdue
8,7:00 PM,31,24,Florida International
8,7:30 PM,54,13,New Mexico State
8,7:30 PM,39,7,Coastal Carolina
8,8:00 PM,48,21,Middle Tennessee State
8,8:00 PM,44,17,Texas-El Paso
8,10:30 PM,27,19,(16)Utah
8,9:00 PM,50,34,Utah State
8,8:00 PM,37,10,Maryland
8,12:00 PM,27,25,South Carolina
8,12:00 PM,44,10,Alabama-Birmingham
8,12:00 PM,37,35,Kent State
8,11:00 PM,28,7,Hawaii
8,4:00 PM,41,19,Arizona
8,12:00 PM,30,15,Toledo
8,3:30 PM,19,13,Central Florida
8,12:00 PM,49,14,Wake Forest
8,3:30 PM,31,24,San Jose State
8,4:15 PM,41,31,Mississippi State
8,8:00 PM,24,23,Marshall
8,12:00 PM,41,34,North Carolina
8,3:30 PM,50,49,Purdue
8,12:00 PM,40,16,Washington
8,8:00 PM,28,16,West Virginia
8,10:15 PM,31,28,Colorado
8,7:30 PM,34,24,Appalachian State
8,7:30 PM,29,26,(9)Mississippi
8,5:00 PM,38,21,Southern Mississippi
8,3:30 PM,24,20,Virginia
8,3:30 PM,21,3,South Florida
8,2:00 PM,38,14,Eastern Michigan
8,9:00 PM,21,17,UCLA
8,12:00 PM,45,3,Massachusetts
8,7:30 PM,42,37,Oregon State
8,7:00 PM,52,37,Air Force
8,7:00 PM,41,37,Florida Atlantic
8,3:30 PM,17,7,Bowling Green
8,3:30 PM,49,7,Stanford
8,4:00 PM,27,25,Central Michigan
8,3:30 PM,21,14,Georgia State
