week,date,team1,team1_score,team2,team2_score
6,"Sep 28, 2024",Indiana,42,Maryland,28
6,"Sep 28, 2024",(18)Iowa State,20,Houston,0
6,"Sep 28, 2024",James Madison,63,Ball State,7
6,"Sep 28, 2024",(23)Kansas State,42,(20)Oklahoma State,20
6,"Sep 28, 2024",Kentucky,20,(6)Mississippi,17
6,"Sep 28, 2024",Louisiana,41,Wake Forest,38
6,"Sep 28, 2024",(14)Louisiana State,42,South Alabama,10
6,"Sep 28, 2024",Louisiana-Monroe,13,Troy,9
6,"Sep 28, 2024",Marshall,27,Western Michigan,20
6,"Sep 28, 2024",Memphis,24,Middle Tennessee State,7
6,"Sep 28, 2024",Miami (OH),23,Massachusetts,20
6,"Sep 28, 2024",(12)Michigan,27,Minnesota,24
6,"Sep 28, 2024",Navy,41,Alabama-Birmingham,18
6,"Sep 28, 2024",Nebraska,28,Purdue,10
6,"Sep 28, 2024",Nevada-Las Vegas,59,Fresno State,14
6,"Sep 28, 2024",New Mexico,50,New Mexico State,40
6,"Sep 28, 2024",North Carolina State,24,Northern Illinois,17
6,"Sep 28, 2024",North Texas,52,Tulsa,20
6,"Sep 28, 2024",(16)Notre Dame,31,(15)Louisville,24
6,"Sep 28, 2024",Ohio,30,Akron,10
6,"Sep 28, 2024",(3)Ohio State,38,Michigan State,7
6,"Sep 28, 2024",(21)Oklahoma,27,Auburn,21
6,"Sep 28, 2024",Old Dominion,30,Bowling Green,27
6,"Sep 28, 2024",(8)Oregon,34,UCLA,13
6,"Sep 28, 2024",(9)Penn State,21,(19)Illinois,7
6,"Sep 28, 2024",Sam Houston,40,Texas State,39
6,"Sep 28, 2024",(13)Southern California,38,Wisconsin,21
6,"Sep 28, 2024",Southern Methodist,42,Florida State,16
6,"Sep 28, 2024",Syracuse,42,Holy Cross,14
6,"Sep 28, 2024",Tennessee-Martin,24,Kennesaw State,13
6,"Sep 28, 2024",(1)Texas,35,Mississippi State,13
6,"Sep 28, 2024",(24)Texas A&M,21,Arkansas,17
6,"Sep 28, 2024",Texas Christian,38,Kansas,27
6,"Sep 28, 2024",Texas Tech,44,Cincinnati,41
6,"Sep 28, 2024",Tulane,45,South Florida,10
6,"Sep 28, 2024",Wyoming,31,Air Force,19
7,"Oct 3, 2024",Sam Houston,41,Texas-El Paso,21
7,"Oct 3, 2024",Texas State,38,Troy,17
7,"Oct 4, 2024",Houston,30,Texas Christian,19
7,"Oct 4, 2024",Jacksonville State,63,Kennesaw State,24
7,"Oct 4, 2024",(6)Oregon,31,Michigan State,10
7,"Oct 4, 2024",Syracuse,44,(25)Nevada-Las Vegas,41
7,"Oct 5, 2024",Arizona State,35,Kansas,31
7,"Oct 5, 2024",Arkansas,19,(4)Tennessee,14
7,"Oct 5, 2024",Arkansas State,18,South Alabama,16
7,"Oct 5, 2024",Army,49,Tulsa,7
7,"Oct 5, 2024",(21)Boise State,62,Utah State,30
7,"Oct 5, 2024",Bowling Green,27,Akron,20
7,"Oct 5, 2024",Charlotte,55,East Carolina,24
7,"Oct 5, 2024",(15)Clemson,29,Florida State,13
7,"Oct 5, 2024",Coastal Carolina,45,Old Dominion,37
7,"Oct 5, 2024",Connecticut,29,Temple,20
7,"Oct 5, 2024",Florida,24,Central Florida,13
7,"Oct 5, 2024",(5)Georgia,31,Auburn,13
7,"Oct 5, 2024",Georgia Tech,24,Duke,14
7,"Oct 5, 2024",(23)Indiana,41,Northwestern,24
7,"Oct 5, 2024",(16)Iowa State,43,Baylor,21
7,"Oct 5, 2024",Louisiana,23,Southern Mississippi,13
7,"Oct 5, 2024",Louisiana-Monroe,21,James Madison,19
7,"Oct 5, 2024",Marshall,52,Appalachian State,37
7,"Oct 5, 2024",(8)Miami (FL),39,California,38
7,"Oct 5, 2024",Minnesota,24,(11)Southern California,17
7,"Oct 5, 2024",(12)Mississippi,27,South Carolina,3
7,"Oct 5, 2024",Navy,34,Air Force,7
7,"Oct 5, 2024",Nebraska,14,Rutgers,7
7,"Oct 5, 2024",Northern Illinois,34,Massachusetts,20
7,"Oct 5, 2024",(3)Ohio State,35,Iowa,7
7,"Oct 5, 2024",Oregon State,39,Colorado State,31
7,"Oct 5, 2024",(7)Penn State,27,UCLA,11
7,"Oct 5, 2024",Pittsburgh,34,North Carolina,24
7,"Oct 5, 2024",San Diego State,27,Hawaii,24
7,"Oct 5, 2024",San Jose State,35,Nevada,31
7,"Oct 5, 2024",Southern Methodist,34,(22)Louisville,27
7,"Oct 5, 2024",(25)Texas A&M,41,(9)Missouri,10
7,"Oct 5, 2024",Texas Tech,28,Arizona,22
7,"Oct 5, 2024",Toledo,30,Miami (OH),20
7,"Oct 5, 2024",Tulane,71,Alabama-Birmingham,20
7,"Oct 5, 2024",Vanderbilt,40,(1)Alabama,35
7,"Oct 5, 2024",Virginia,24,Boston College,14
7,"Oct 5, 2024",Virginia Tech,31,Stanford,7
7,"Oct 5, 2024",Wake Forest,34,North Carolina State,30
7,"Oct 5, 2024",Washington,27,(10)Michigan,17
7,"Oct 5, 2024",West Virginia,38,Oklahoma State,14
7,"Oct 5, 2024",Western Michigan,45,Ball State,42
7,"Oct 5, 2024",Wisconsin,52,Purdue,6
8,"Oct 8, 2024",Liberty,31,Florida International,24
8,"Oct 9, 2024",Jacksonville State,54,New Mexico State,13
8,"Oct 10, 2024",James Madison,39,Coastal Carolina,7
8,"Oct 10, 2024",Louisiana Tech,48,Middle Tennessee State,21
8,"Oct 10, 2024",Western Kentucky,44,Texas-El Paso,17
8,"Oct 11, 2024",Arizona State,27,(16)Utah,19
8,"Oct 11, 2024",Nevada-Las Vegas,50,Utah State,34
8,"Oct 11, 2024",Northwestern,37,Maryland,10
8,"Oct 12, 2024",(7)Alabama,27,South Carolina,25
8,"Oct 12, 2024",Army,44,Alabama-Birmingham,10
8,"Oct 12, 2024",Ball State,37,Kent State,35
8,"Oct 12, 2024",(17)Boise State,28,Hawaii,7
8,"Oct 12, 2024",(14)Brigham Young,41,Arizona,19
8,"Oct 12, 2024",Buffalo,30,Toledo,15
8,"Oct 12, 2024",Cincinnati,19,Central Florida,13
8,"Oct 12, 2024",(10)Clemson,49,Wake Forest,14
8,"Oct 12, 2024",Colorado State,31,San Jose State,24
8,"Oct 12, 2024",(5)Georgia,41,Mississippi State,31
8,"Oct 12, 2024",Georgia Southern,24,Marshall,23
8,"Oct 12, 2024",Georgia Tech,41,North Carolina,34
8,"Oct 12, 2024",(23)Illinois,50,Purdue,49
8,"Oct 12, 2024",Iowa,40,Washington,16
8,"Oct 12, 2024",(11)Iowa State,28,West Virginia,16
8,"Oct 12, 2024",(18)Kansas State,31,Colorado,28
8,"Oct 12, 2024",Louisiana,34,Appalachian State,24
8,"Oct 12, 2024",(13)Louisiana State,29,(9)Mississippi,26
8,"Oct 12, 2024",Louisiana-Monroe,38,Southern Mississippi,21
8,"Oct 12, 2024",Louisville,24,Virginia,20
8,"Oct 12, 2024",Memphis,21,South Florida,3
8,"Oct 12, 2024",Miami (OH),38,Eastern Michigan,14
8,"Oct 12, 2024",Minnesota,21,UCLA,17
8,"Oct 12, 2024",(21)Missouri,45,Massachusetts,3
8,"Oct 12, 2024",Nevada,42,Oregon State,37
8,"Oct 12, 2024",New Mexico,52,Air Force,37
8,"Oct 12, 2024",North Texas,41,Florida Atlantic,37
8,"Oct 12, 2024",Northern Illinois,17,Bowling Green,7
8,"Oct 12, 2024",(11)Notre Dame,49,Stanford,7
8,"Oct 12, 2024",Ohio,27,Central Michigan,25
8,"Oct 12, 2024",Old Dominion,21,Georgia State,14
8,"Oct 12, 2024",(3)Oregon,32,(2)Ohio State,31
8,"Oct 12, 2024",(4)Penn State,33,Southern California,30
8,"Oct 12, 2024",(22)Pittsburgh,17,California,15
8,"Oct 12, 2024",Rice,29,Texas-San Antonio,27
8,"Oct 12, 2024",San Diego State,27,Wyoming,24
8,"Oct 12, 2024",Syracuse,24,North Carolina State,17
8,"Oct 12, 2024",(8)Tennessee,23,Florida,17
8,"Oct 12, 2024",(1)Texas,34,(18)Oklahoma,3
8,"Oct 12, 2024",Texas State,41,Arkansas State,9
